OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,latitude,longitude
45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,,-38.2366569988309,144.377875000086
45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,,-37.8692499992282,145.24197400045
45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,,-36.7613119990048,144.280338999791
45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.1956659988826,145.133708999782
45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,,-37.7861339994886,144.853383999994
45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.1115369990355,145.283073000461
45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.1092949988792,145.283487000277
45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,,-38.3672059988917,144.879111000335
45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.8169509990932,144.882678999933
45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,-38.1089339992953,145.136270000339
45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.7406289991995,145.027710999581
45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.6624669989102,144.922434000295
45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8234489990964,144.88143700001
45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,,-37.761825999483,144.99294299952
45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0127869991054,145.159187000263
45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0114969990627,145.171278999637
45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,,-36.7962409988957,144.244077000061
45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.6886059992944,144.883619000413
45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-36.5754119995012,143.868051999848
45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,-37.9176579990206,145.032066000268
45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.138647998806,144.355793000298
45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,,-38.0209239994225,145.239141999989
45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,,-37.8884679993682,145.262922000192
45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,,-37.830684998994,145.05596399946
45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0441309987973,145.36674800018
45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,,-38.1507119994157,145.195116999946
45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,-37.7794169994554,145.139219999631
45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,,-38.0079839994751,145.310423999998
45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.6984429994081,147.382081000173
45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,,-37.7835699990111,145.274055000521
45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.8267579991945,144.965826000198
45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.7900099991759,145.38789599956
45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8007199991971,145.001941999598
45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8007649994855,145.002421999878
45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8367509988501,144.973321000002
45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7996229989992,144.990760000434
45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7997659993966,144.992196999853
45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7998739993667,144.993276000283
45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8000589995544,144.995174999575
45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8000969987591,144.995572999667
45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8002579991798,144.997220999626
45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8003899991488,144.998574000555
45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8005039994219,144.99972900032
45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,,-38.1492249989657,145.19665000046
45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,,-37.8927359988551,145.106998999861
45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,,-37.8006239992124,144.87166899974
45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,,-37.7401709991382,144.899491999764
45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,,-37.7764509992103,145.363422999852
45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8253639987433,144.883789999931
45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8874399989738,145.078689999589
45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.9941409989511,145.172622999674
45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,,-37.8260319994361,147.632011000132
45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.817105998875,145.217350000459
45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,,-37.8173719994581,145.215096000291
45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8265079995115,145.020154000205
45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8505319988131,144.706347999545
45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0138859993955,145.309269999673
45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,,-37.8105229989652,144.939097000188
45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8095089995267,144.935965999442
45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,,-38.2203669994999,145.040741999867
45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7669839991912,145.044641000218
45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.749348999316,144.860221000324
45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,,-37.8279879993734,145.115199000173
45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,,-38.1563179987431,144.345342999833
45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0685989990398,145.143340999773
45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,,-37.9397829987986,145.090829000103
45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.801761999138,144.917100999566
45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.877967999107,145.128625000161
45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,,-37.8155289989836,144.810367999459
45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,,-37.8459529993942,144.885490000541
45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1934309992651,146.539677999451
45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1954359987153,146.538092999549
45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1961089990202,146.536679999469
45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7093989991822,148.453753000251
45116,,,3567,MURRUMBEENA/KANGAROO,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8971249994797,145.065109999787
45117,,,304,FRANKSTON-DANDENONG/ABBOTTS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0316599992706,145.211947999784
45118,,,3507,KOROROIT CREEK NR ADELINE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8571349993867,144.881869999658
45119,,,401,NARRE WARREN NTH/ERNST WANKE,INT,,,,,,,,OPERATIONAL,"Bluetooth,SAFECAM,SRLC",,,,-37.9967019993713,145.312828000383
45120,,,6408,WESTERN HWY/WILLIAMS/DUFF,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,-36.7260869994053,142.204979000191
45121,,,2670,FURLONG NR CAMPERDOWN,POS,,,,,,,,OPERATIONAL,,,,,-37.7616999988395,144.823464000008
45122,,,2671,FURLONG NR FORD,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-37.7623539990797,144.828619999468
45123,,,2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7454849993811,144.799820000471
45124,,,4654,VICTORIA/RIVER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,-37.8118359990166,145.013490000191
45125,,,757,YOUNG NR WELLS,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.144021999337,145.12514200035
45126,,,943,SPRINGVALE/SPOTLIGHT CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.9340239987388,145.155597999871
45127,,,445,PHE/OVERLAND,INT,,,,,,,,OPERATIONAL,,,,,-38.0222799991667,145.30110999983
45128,,,308,POINT NEPEAN/HYGEIA,INT,,,,,,,,OPERATIONAL,DUST,,,,-38.3710649991373,144.830858999615
45129,,,4515,LATROBE NR HARBOUR,POS,,,,,,,,OPERATIONAL,TRAM PRI,,,,-37.8147289993986,144.945934000412
45130,,,5048,YARRA/EASTERN BEACH,INT,,,,,,,,OPERATIONAL,,,,,-38.1451429989885,144.36455499962
45131,,,4527,WURUNDJERI/TELSTRA DOME N/E ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,,-37.8135519989561,144.947160999909
45132,,,3417,ELGIN/DRUMMOND,INT,,,,,,,,OPERATIONAL,,,,,-37.7972929992047,144.968773999455
45133,,,539,MONASH FWY/BLACKBURN O/B,RAMP MTR,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8951759987867,145.14612100029
45134,,,3409,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC,INT,,,,,,,,OPERATIONAL,EVP,,,,-37.8241459990201,144.985044999979
45135,,,5238,OLD GEELONG/FIAT DEALERSHIP ENT,INT,,,,,,,,OPERATIONAL,DUST,,,,-37.8787509992071,144.708581000006
45136,,,6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.3924319995481,145.355925000506
45137,,,6409,WESTERN HWY/WAWUNNA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-36.7104959994908,142.196254000189
45138,,,2661,COBURNS/RICHARD,INT,,,,,,,,OPERATIONAL,,,,,-37.6942909988812,144.566338000542
45139,,,2659,TAYLORS/CARBINE,INT,,,,,,,,OPERATIONAL,,,,,-37.7280369987712,144.797384999862
45140,,,6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER,INT,,,,,,,,OPERATIONAL,"DUST,PTS_SIGN",,,,-38.4075329988001,145.530272999501
45141,,,5834,MIDLAND HWY (ALBERT) NR HERTFORD,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,-37.5866029989992,143.840978999977
45142,,,5835,MIDLAND HWY NR VICTORIA,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,-37.5992809990051,143.841073000114
45143,,,399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT,,,,,,,,OPERATIONAL,,,,,-38.0492599992772,145.340419999855
45144,,,3211,MCNAUGHTON NR TORTEVAL,POS,,,,,,,,OPERATIONAL,,,,,-37.9288049987876,145.136360999705
45145,,,4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,-37.8203829993004,144.976220000226
45146,,,3548,CHURCH NR CARPENTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.9142019988828,144.994699000537
45147,,,3547,CHURCH NR ST ANDREWS,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.9121249987111,144.992335000252
45148,,,2648,HAMPSHIRE NR HARVESTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7864179989531,144.831715000264
45149,,,389,MAROONDAH NR COMO,POS,,,,,,,,OPERATIONAL,,,,,-37.7513389988431,145.369967000457
45150,,,402,O'SULLIVAN NR GLENWAY ARCADE,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.8785399992328,145.165052000531
45151,,,3837,STANHOPE NR LORNE,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,-37.8267039989548,145.06491599992
45152,,,158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT,,,,,,,,OPERATIONAL,,,,,-37.8288049994386,145.279466000253
45153,,,3009,ORMOND ESP NR PINE,POS,,,,,,,,OPERATIONAL,,,,,-37.8865739988005,144.989563999445
45154,,,2646,COBURNS/BARRIES,INT,,,,,,,,OPERATIONAL,,,,,-37.6875769989394,144.567553000376
45155,,,4637,CHESTERVILLE NR RADCLIFFE,POS,,,,,,,,OPERATIONAL,,,,,-37.9593309987025,145.056825000501
45156,,,588,WICKLOW NR TOORAK,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7948799994573,145.280456000209
45157,,,6250,HOLDSWORTH/HOLMES/SANDHURST,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-36.7357029994071,144.266885000016
45158,,,6251,NAPIER NR TOMLINS ST BRIDGE,POS,,,,,,,,OPERATIONAL,"DUST,PELICAN",,,,-36.7524129993206,144.288514999933
45159,,,2182,DONALD CAMERON/LINCOLN/THOMAS BRUNTON,INT,,,,,,,,OPERATIONAL,,,,,-37.6305679991599,144.928266999868
45160,,,2813,COOPER/FREIGHT/REX,INT,,,,,,,,OPERATIONAL,,,,,-37.6450669993421,144.962813999664
45161,,,2059,CAIRNLEA/WOODBURN,INT,,,,,,,,OPERATIONAL,,,,,-37.7631659988575,144.789754999949
45162,,,3242,PLENTY/BUSH/DEVELOPMENT,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.6562699992764,145.080122000566
45163,,,2677,DUKE/SURREY,INT,,,,,,,,OPERATIONAL,,,,,-37.7672839988538,144.84934499993
45164,,,5659,PHE/MCCULLOCH,INT,,,,,,,,OPERATIONAL,DIDO,,,,-37.8276829993053,147.624405999604
45165,,,2893,MILLERS/BEURON,INT,,,,,,,,OPERATIONAL,,,,,-37.8289169993297,144.848636000029
45166,,,3524,RACECOURSE NR PIN OAK,POS,,,,,,,,OPERATIONAL,"PELICAN,PUFFIN,TRAM PRI",,,,-37.7882449992543,144.93028400055
45167,,,3485,PFW NB RAMPS/KOROROIT CREEK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.844333998925,144.783231000509
45168,,,509,MONASH FWY/TINKS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0016459991667,145.293147000205
45169,,,398,STH GIPPS'D HWY/HUON PARK/WENTWORTH,INT,,,,,,,,OPERATIONAL,AMBU LNK,,,,-38.0741149992005,145.271347999599
45170,,,5271,SAYERS/MARQUANDS,INT,,,,,,,,OPERATIONAL,,,,,-37.8523329989301,144.72687399963
45171,,,3723,MONASH/BLACKBURN RAMP SIGNALS IB,RAMP MTR,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,-37.8947609994373,145.1426630002
45172,,,5609,PHE NR PINE,POS,,,,,,,,OPERATIONAL,DUST,,,,-38.0964379993505,147.068247999711
45173,,,391,STUD/CENTRE,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,-37.9022259987259,145.23516599967
45174,,,756,MOOROODUC HWY/ROBINSONS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.1737279988376,145.139249999662
45175,,,2792,DALTON NR DAVID,POS,,,,,,,,OPERATIONAL,,,,,-37.6730549994434,145.031103999551
45176,,,1046,ROYAL NR IEVERS,POS,,,,,,,,OPERATIONAL,"PUFFIN,TRAM PRI",,,,-37.7821279988051,144.95971199963
45177,,,5109,VINES NR MARLO,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-38.1205779986903,144.328314000484
45178,,,5039,GHERINGHAP/MALOP/MERCER,INT,,,,,,,,OPERATIONAL,,,,,-38.1465279986898,144.358367999773
45179,,,2397,KINGSWAY/SOUTHERN LINK,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,-37.8278259994337,144.962224000174
45180,,,303,HALLAM/CORAL/FORDHOLM,INT,,,,,,,,OPERATIONAL,"PARTFCRT,SRLC",,,,-38.0356789989813,145.267158000063
45181,,,6827,PHW (RAGLAN PDE)/MORRISS,INT,,,,,,,,OPERATIONAL,TIME CLK,,,,-38.3668109995518,142.464041999598
45182,,,6828,PHW (RAGLAN PDE)/LAVEROCK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.3694559995405,142.468519000068
45183,,,5231,SURF COAST HWY NR BEACH,POS,,,,,,,,OPERATIONAL,DIDO,,,,-38.3266169989903,144.317633999736
45184,,,964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,,,,,,,,OPERATIONAL,,,,,-38.0332969990795,145.225057000429
45185,,,508,CLYDE/GREAVES/O'SHEA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0598929993571,145.338180000297
45186,,,5117,RYRIE NR JAMES,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-38.1488139991998,144.35802499946
45187,,,5118,RYRIE NR UNION,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-38.149536999259,144.360561000376
45188,,,5881,MIDLAND HWY SKIPTON/DARLING/DRUMMOND,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.5756319989084,143.844722999839
45189,,,5119,MERCER NR GINN,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-38.1394969987131,144.354766000407
45190,,,5273,PFW/FORSYTH,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8752259990054,144.737423
45191,,,2014,HIGH ST RD/TYNER,INT,,,,,,,,OPERATIONAL,,,,,-37.8749799986672,145.244812000464
45192,,,107,MAROONDAH/KALLAY/BRENTNALL,INT,,,,,,,,OPERATIONAL,,,,,-37.7934099991377,145.260270999499
45193,,,6814,HOPKINS HWY / HAYLEY / NORTHPOINT SC,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,,-38.3673349988359,142.493489999487
45194,,,4638,BOUNDARY / LOWER DANDENONG,POS,,,,,,,,OPERATIONAL,"Bluetooth,PUFFIN",,,,-37.9861629989502,145.109326000342
45195,,,4438,LITTLE CHAPEL NR PRINCES,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.8493869993707,144.994785000311
45196,,,4442,BRAY NR GREY,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.8469499987367,144.994758000436
45197,,,6290,MIDLAND HWY/HOWARD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-36.705154999329,144.316158000288
45198,,,3741,PLENTY/MT COOPER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,-37.7044739988658,145.05561600012
45199,,,1011,ASCOT VALE/KENT,INT,,,,,,,,OPERATIONAL,,,,,-37.7799489990335,144.922660000483
45200,,,2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7904269994925,144.817196000371
45201,,,6235,LODDON VALLEY/SANDHURST,INT,,,,,,,,OPERATIONAL,"Bluetooth,DUST,PTS_SIGN",,,,-36.7258769991371,144.258692000513
45202,,,4150,BURNLEY/BARKLY/CITYLINK OFF RAMPS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,-37.8302779987311,145.006375999671
45203,,,803,WELLINGTON/TAYLORS,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,,-37.9265499990048,145.244148999517
45204,,,4558,OLYMPIC BLVD(SWAN)/TRAM ACCESS,INT,,,,,,,,OPERATIONAL,EVP,,,,-37.824341999349,144.986708999841
45205,,,2193,DONNYBROOK/HUME FWY NB RAMPS,INT,,,,,,,,OPERATIONAL,,,,,-37.5394769992302,144.945480999605
45206,,,5164,BREAKWATER/FELLMONGERS,INT,,,,,,,,OPERATIONAL,,,,,-38.1793299986718,144.367589999908
45207,,,507,NEPEAN HWY/STATION,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,,-38.0709569989871,145.121347999904
45208,,,3047,BUCKLEY/DICKSON,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,-37.7522189987431,144.874065000091
45209,,,6081,GVH/PINE/BRAUMAN,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-36.3574599990395,145.402228000436
45210,,,2352,NEPEAN HWY NR LATROBE,POS,,,,,,,,OPERATIONAL,,,,,-37.9750049990323,145.065273999529
45211,,,5610,PHE/SALE-MAFFRA,INT,,,,,,,,OPERATIONAL,DUST,,,,-38.093563999425,147.06880999945
45212,,,3917,CHAPEL/PALERMO,INT,,,,,,,,OPERATIONAL,,,,,-37.8416319987754,144.995189999448
45213,,,2519,PHW/CEMETERY,INT,,,,,,,,OPERATIONAL,,,,,-37.8138159987431,144.85983400042
45214,,,3644,KINGSTON/BALL/ST ANDREWS,INT,,,,,,,,OPERATIONAL,,,,,-37.9539469987805,145.083548999783
45215,,,6451,CALDER HWY/KARADOC,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,-34.2314169992389,142.165885999542
45216,,,4108,GLEN EIRA NR ST GEORGES,POS,,,,,,,,OPERATIONAL,,,,,-37.8777409987372,145.004653000165
45217,,,2464,JOHNSTON O/H LANE E TRENERRY 14,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8005449991581,145.000155000282
45218,,,6075,GVH (WYNDHAM) / VAUGHAN,INT,,,,,,,,OPERATIONAL,,,,,-36.3831459987059,145.398849999948
45219,,,2589,HUME DRIVE/COPPERFIELD,INT,,,,,,,,OPERATIONAL,,,,,-37.7100609993861,144.771016999495
45220,,,3759,NORTH NR HALL,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.8448009989723,144.884737999702
45221,,,1153,WHEELER NR WILSON,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.0302399989481,145.348147999639
45222,,,1155,HAWTHORN NR AUTUMN,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.9946169995099,145.240272000418
45223,,,1102,CANTERBURY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.8323839990689,145.216982999433
45224,,,1103,BURWOOD HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.8612089990961,145.211129999758
45225,,,1104,BORONIA/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.8461749986876,145.216330999792
45226,,,1123,DORSET/CLIPSAL,INT,,,,,,,,OPERATIONAL,,,,,-37.8320979995404,145.287316999613
45227,,,1107,FERNTREE GULLY/EASTLINK,INT,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,-37.9035419995187,145.214385000045
45228,,,1181,HEATHERTON/LINK,INT,,,,,,,,OPERATIONAL,,,,,-37.9679199989572,145.197495000078
45229,,,5218,BELLARINE HWY NR NELSON,POS,,,,,,,,OPERATIONAL,,,,,-38.171402998688,144.394306000269
45230,,,5219,CORIO-WAURN PONDS(SETTLEMENT) NR FRANCIS,POS,,,,,,,,OPERATIONAL,,,,,-38.181856999118,144.347271999846
45231,,,2635,MONASH NR WHITTY,POS,,,,,,,,OPERATIONAL,,,,,-37.7890009987069,144.835906000063
45232,,,886,MAROONDAH NR RYLAND,POS,,,,,,,,OPERATIONAL,WCHAIR,,,,-37.7899889987966,145.266233999432
45233,,,2636,MELTON HWY/VERONA,INT,,,,,,,,OPERATIONAL,,,,,-37.7007369991471,144.796278999477
45234,,,2637,MELTON HWY/PARMELIA,INT,,,,,,,,OPERATIONAL,,,,,-37.6985789991998,144.786380000287
45235,,,2638,MELTON HWY/KINGS,INT,,,,,,,,OPERATIONAL,"Bluetooth,SRLC",,,,-37.6974509989151,144.781239000192
45236,,,2639,MELTON HWY/SHOPPING CENTRE ENT 2,INT,,,,,,,,OPERATIONAL,,,,,-37.6968179991557,144.778268000376
45237,,,2640,MELTON HWY/MCCUBBIN,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,,-37.6958819990671,144.774555999819
45238,,,6315,NORTHERN HWY BTN FRASER/GILLIES,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.3617759991922,144.699465999574
45239,,,4729,PICKLES/LIARDET/RICHARDSON,INT,,,,,,,,OPERATIONAL,,,,,-37.8410129990319,144.946529999814
